,precision,recall,f1-score,support
A,0.9081885856079405,0.9891891891891892,0.9469598965071151,370.0
B,0.9848484848484849,0.9908536585365854,0.9878419452887538,328.0
C,0.9881656804733728,0.9881656804733728,0.9881656804733728,338.0
D,0.9793510324483776,0.9405099150141643,0.9595375722543352,353.0
E,0.9101449275362319,0.9457831325301205,0.9276218611521418,332.0
F,0.9563953488372093,0.9676470588235294,0.9619883040935673,340.0
G,0.943952802359882,0.9846153846153847,0.963855421686747,325.0
H,0.9726443768996961,0.9667673716012085,0.9696969696969697,331.0
I,0.9548611111111112,0.9166666666666666,0.935374149659864,300.0
J,0.9726027397260274,0.9833795013850416,0.977961432506887,361.0
K,0.9424657534246575,0.98005698005698,0.9608938547486033,351.0
L,0.9478260869565217,0.9478260869565217,0.9478260869565217,345.0
M,0.8664850136239782,0.9352941176470588,0.8995756718528995,340.0
N,0.9701492537313433,0.885558583106267,0.9259259259259259,367.0
O,0.9838187702265372,0.95,0.9666136724960255,320.0
P,0.9915492957746479,0.9436997319034852,0.967032967032967,373.0
Q,0.9428571428571428,0.9880239520958084,0.9649122807017544,334.0
R,0.959731543624161,0.934640522875817,0.9470198675496688,306.0
S,0.8948863636363636,0.9104046242774566,0.9025787965616046,346.0
T,0.9900990099009901,0.8695652173913043,0.9259259259259259,345.0
U,0.9151515151515152,0.937888198757764,0.9263803680981595,322.0
V,0.9585635359116023,0.9353099730458221,0.946793997271487,371.0
W,0.9385964912280702,0.9727272727272728,0.9553571428571429,330.0
X,0.9508670520231214,0.9536231884057971,0.9522431259044862,345.0
Y,0.9487179487179487,0.9652173913043478,0.9568965517241379,345.0
Z,0.9725609756097561,0.9550898203592815,0.9637462235649547,334.0
DEL,0.9967741935483871,0.987220447284345,0.9919743178170144,313.0
NOTHING,0.9869281045751634,1.0,0.993421052631579,302.0
SPACE,1.0,0.9790419161676647,0.989409984871407,334.0
accuracy,0.9550045913682277,0.9550045913682277,0.9550045913682277,0.9550045913682277
macro avg,0.9561787289782843,0.9553367442482155,0.9552941740624834,9801.0
weighted avg,0.9559862193630919,0.9550045913682277,0.9550178994985696,9801.0
