,precision,recall,f1-score,support
A,1.0,1.0,1.0,305.0
B,1.0,1.0,1.0,270.0
C,1.0,1.0,1.0,286.0
D,1.0,1.0,1.0,270.0
E,1.0,1.0,1.0,309.0
F,1.0,1.0,1.0,286.0
G,1.0,1.0,1.0,316.0
H,1.0,1.0,1.0,300.0
I,1.0,0.9964539007092199,0.9982238010657194,282.0
J,1.0,1.0,1.0,278.0
K,0.993485342019544,1.0,0.9967320261437909,305.0
L,1.0,1.0,1.0,298.0
M,1.0,1.0,1.0,348.0
N,1.0,1.0,1.0,312.0
O,1.0,1.0,1.0,307.0
P,1.0,0.9965635738831615,0.9982788296041308,291.0
Q,0.9962406015037594,1.0,0.9981167608286252,265.0
R,0.9968051118210862,0.9968051118210862,0.9968051118210862,313.0
S,1.0,1.0,1.0,285.0
T,1.0,1.0,1.0,297.0
U,0.9928571428571429,0.9928571428571429,0.9928571428571429,280.0
V,0.9967320261437909,0.9838709677419355,0.9902597402597403,310.0
W,0.9870550161812298,0.9967320261437909,0.991869918699187,306.0
X,1.0,1.0,1.0,301.0
Y,1.0,1.0,1.0,318.0
Z,1.0,1.0,1.0,328.0
DEL,1.0,1.0,1.0,290.0
NOTHING,1.0,1.0,1.0,319.0
SPACE,1.0,1.0,1.0,325.0
accuracy,0.998735632183908,0.998735632183908,0.998735632183908,0.998735632183908
macro avg,0.9987301807078122,0.9987338870053909,0.9987290803889456,8700.0
weighted avg,0.9987405231920103,0.998735632183908,0.9987350776449712,8700.0
